top_k,ablation,user_id,query_id,query_mode,query_subtype,query,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,deadline_ranking_accuracy,memory_token_cost
5,full_qca,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|constraint,0.610694|0.59627|0.589617|0.584516|0.583685,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.8980517442734133,1.0,1.0,,0.0,,0.0,94
5,wo_tmt,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m069,u001_e001|u001_e001|u001_e014|u001_e009|u001_e018,todo|todo|todo|todo|todo,0.687291|0.680142|0.66824|0.65544|0.585467,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,89
5,wo_decay,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m054|u001_m034|u001_m018|u001_m001,u001_e001|u001_e014|u001_e009|u001_e005|u001_e001,todo|todo|todo|status_update|todo,0.610694|0.59627|0.589617|0.586975|0.584516,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.8757412141153033,1.0,1.0,,0.0,,0.0,91
5,wo_compatibility,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m053|u001_m049|u001_m033|u001_m002|u001_m035,u001_e014|u001_e013|u001_e009|u001_e001|u001_e009,constraint|preference|dependency|todo|constraint,0.502685|0.469038|0.439124|0.430694|0.424675,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.3333333333333333,0.2192560461704936,0.0,0.3333333333333333,,0.0,,0.0,74
5,wo_domain,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|constraint,0.510694|0.49627|0.489617|0.484516|0.483685,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.8980517442734133,1.0,1.0,,0.0,,0.0,94
5,wo_penalty,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|constraint,0.610694|0.59627|0.589617|0.584516|0.583685,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.8980517442734133,1.0,1.0,,0.0,,0.0,94
10,full_qca,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053|u001_m033|u001_m035|u001_m049|u001_m070|u001_m018,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014|u001_e009|u001_e009|u001_e013|u001_e018|u001_e005,todo|todo|todo|todo|constraint|dependency|constraint|preference|constraint|status_update,0.610694|0.59627|0.589617|0.584516|0.583685|0.538124|0.505675|0.496038|0.488968|0.487319,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.8980517442734133,1.0,1.0,,0.0,,0.0,169
10,wo_tmt,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m069|u001_m053|u001_m033|u001_m035|u001_m009|u001_m049,u001_e001|u001_e001|u001_e014|u001_e009|u001_e018|u001_e014|u001_e009|u001_e009|u001_e003|u001_e013,todo|todo|todo|todo|todo|constraint|dependency|constraint|todo|preference,0.687291|0.680142|0.66824|0.65544|0.585467|0.583685|0.538124|0.505675|0.504947|0.496038,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,160
10,wo_decay,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m054|u001_m034|u001_m018|u001_m001|u001_m033|u001_m053|u001_m035|u001_m070|u001_m049,u001_e001|u001_e014|u001_e009|u001_e005|u001_e001|u001_e009|u001_e014|u001_e009|u001_e018|u001_e013,todo|todo|todo|status_update|todo|dependency|constraint|constraint|constraint|preference,0.610694|0.59627|0.589617|0.586975|0.584516|0.576895|0.573771|0.54184|0.4777|0.475718,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.8757412141153033,1.0,1.0,,0.0,,0.0,169
10,wo_compatibility,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,u001_m053|u001_m049|u001_m033|u001_m002|u001_m035|u001_m054|u001_m034|u001_m070|u001_m001|u001_m041,u001_e014|u001_e013|u001_e009|u001_e001|u001_e009|u001_e014|u001_e009|u001_e018|u001_e001|u001_e011,constraint|preference|dependency|todo|constraint|todo|todo|constraint|todo|preference,0.502685|0.469038|0.439124|0.430694|0.424675|0.41627|0.409617|0.407968|0.404516|0.387167,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.48564206206346844,0.0,1.0,,0.0,,0.0,160
