top_k,ablation,user_id,query_id,query_mode,query_subtype,hard_case_tag,query,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_roles,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,wrong_domain_intrusion_rate,stale_memory_intrusion_rate,completed_task_intrusion_rate,completed_todo_retro_recall,active_todo_precision,wrong_domain_urgent_intrusion_rate,stale_preference_intrusion_rate,far_deadline_before_near_rate,deadline_ranking_accuracy,memory_token_cost
5,full_core_v2,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0002|v3u001_m0003|v3u001_m0016|v3u001_m0028,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e006,todo|todo|todo|status_update|status_update,active_todo|active_todo|active_todo|fact_context|fact_context,0.585948|0.434059|0.231482|0.117991|0.115381,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.7039180890341347,1.0,1.0,0.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,124
5,wo_embedding,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0002|v3u001_m0003|v3u001_m0028|v3u001_m0004,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e006|v3u001_e001,todo|todo|todo|status_update|dependency,active_todo|active_todo|active_todo|fact_context|fact_context,0.406383|0.301041|0.160544|0.066339|0.06484,v3u001_m0001|v3u001_m0004,v3u001_e001,1.0,0.8854598815714874,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,122
5,wo_decay,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0002|v3u001_m0003|v3u001_m0032|v3u001_m0033,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e007|v3u001_e007,todo|todo|todo|fact|dependency,active_todo|active_todo|active_todo|fact_context|fact_context,0.585948|0.434059|0.231482|0.145824|0.136896,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.7039180890341347,1.0,1.0,0.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,109
5,wo_role_matrix,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0013|v3u001_m0014|v3u001_m0016|v3u001_m0001|v3u001_m0028,v3u001_e003|v3u001_e003|v3u001_e003|v3u001_e001|v3u001_e006,todo|todo|status_update|todo|status_update,completed_todo|completed_todo|fact_context|active_todo|fact_context,0.666925|0.603737|0.589956|0.585948|0.576904,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.3031610197508214,0.0,1.0,0.0,0.6666666666666666,,0.0,,0.4,,0.3333333333333333,0.0,,0.0,1.0,122
5,wo_domain_gate,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0007|v3u001_m0002|v3u001_m0008|v3u001_m0003,v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e002|v3u001_e001,todo|todo|todo|todo|todo,active_todo|active_todo|active_todo|active_todo|active_todo,0.48829|0.408147|0.361716|0.341449|0.192902,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.7039180890341347,1.0,1.0,0.0,0.0,,0.4,,0.0,,1.0,0.4,,0.0,1.0,110
5,wo_tmt_condition,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0002|v3u001_m0003|v3u001_m0016|v3u001_m0028,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e006,todo|todo|todo|status_update|status_update,active_todo|active_todo|active_todo|fact_context|fact_context,0.585948|0.434059|0.231482|0.117991|0.115381,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.7039180890341347,1.0,1.0,0.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,124
5,wo_eisenhower,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0002|v3u001_m0016|v3u001_m0028|v3u001_m0015,v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e006|v3u001_e003,todo|todo|status_update|status_update|status_update,active_todo|active_todo|fact_context|fact_context|fact_context,0.585948|0.247394|0.117991|0.115381|0.113933,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.7039180890341347,1.0,1.0,0.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,127
10,full_core_v2,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0002|v3u001_m0003|v3u001_m0016|v3u001_m0028|v3u001_m0015|v3u001_m0004|v3u001_m0005|v3u001_m0029|v3u001_m0018,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e006|v3u001_e003|v3u001_e001|v3u001_e001|v3u001_e006|v3u001_e003,todo|todo|todo|status_update|status_update|status_update|dependency|constraint|dependency|constraint,active_todo|active_todo|active_todo|fact_context|fact_context|fact_context|fact_context|fact_context|fact_context|fact_context,0.585948|0.434059|0.231482|0.117991|0.115381|0.113933|0.112775|0.10648|0.106207|0.100039,v3u001_m0001|v3u001_m0004,v3u001_e001,1.0,0.86034433104172,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,258
10,wo_embedding,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0002|v3u001_m0003|v3u001_m0028|v3u001_m0004|v3u001_m0015|v3u001_m0016|v3u001_m0018|v3u001_m0030|v3u001_m0017,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e006|v3u001_e001|v3u001_e003|v3u001_e003|v3u001_e003|v3u001_e006|v3u001_e003,todo|todo|todo|status_update|dependency|status_update|status_update|constraint|constraint|fact,active_todo|active_todo|active_todo|fact_context|fact_context|fact_context|fact_context|fact_context|fact_context|fact_context,0.406383|0.301041|0.160544|0.066339|0.06484|0.058136|0.053286|0.053246|0.045679|0.043454,v3u001_m0001|v3u001_m0004,v3u001_e001,1.0,0.8854598815714874,1.0,1.0,1.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,246
10,wo_decay,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0002|v3u001_m0003|v3u001_m0032|v3u001_m0033|v3u001_m0034|v3u001_m0015|v3u001_m0035|v3u001_m0017|v3u001_m0018,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e007|v3u001_e007|v3u001_e007|v3u001_e003|v3u001_e007|v3u001_e003|v3u001_e003,todo|todo|todo|fact|dependency|constraint|status_update|fact|fact|constraint,active_todo|active_todo|active_todo|fact_context|fact_context|fact_context|fact_context|fact_context|fact_context|fact_context,0.585948|0.434059|0.231482|0.145824|0.136896|0.130944|0.127968|0.127968|0.122016|0.116064,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.7039180890341347,1.0,1.0,0.0,0.0,,0.0,,0.0,,1.0,0.0,,0.0,1.0,225
