top_k,ablation,user_id,query_id,query_mode,query_subtype,hard_case_tag,query,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,deadline_ranking_accuracy,memory_token_cost
5,full_qca,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m070,u001_e001|u001_e001|u001_e014|u001_e009|u001_e018,todo|todo|todo|todo|constraint,0.682851|0.680902|0.6632|0.65262|0.637884,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,96
5,wo_tmt,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m070,u001_e001|u001_e001|u001_e014|u001_e009|u001_e018,todo|todo|todo|todo|constraint,0.686731|0.679822|0.668|0.6552|0.637884,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,96
5,wo_decay,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m018,u001_e001|u001_e001|u001_e014|u001_e009|u001_e005,todo|todo|todo|todo|status_update,0.682851|0.680902|0.6632|0.65262|0.586415,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,91
5,wo_compatibility,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m070|u001_m053|u001_m049|u001_m001|u001_m002,u001_e018|u001_e014|u001_e013|u001_e001|u001_e001,constraint|constraint|preference|todo|todo,0.556884|0.541622|0.516332|0.502851|0.500902,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.6666666666666666,0.4162015621828773,0.0,0.6666666666666666,,0.0,,0.0,80
5,wo_domain,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m070|u001_m053|u001_m050|u001_m005|u001_m049,u001_e018|u001_e014|u001_e013|u001_e002|u001_e013,constraint|constraint|status_update|todo|preference,0.537884|0.522622|0.502138|0.48488|0.459998,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.0,,0.0,83
5,wo_penalty,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m070,u001_e001|u001_e001|u001_e014|u001_e009|u001_e018,todo|todo|todo|todo|constraint,0.682851|0.680902|0.6632|0.65262|0.637884,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,96
10,full_qca,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m070|u001_m053|u001_m049|u001_m005|u001_m062|u001_m056,u001_e001|u001_e001|u001_e014|u001_e009|u001_e018|u001_e014|u001_e013|u001_e002|u001_e016|u001_e014,todo|todo|todo|todo|constraint|constraint|preference|todo|constraint|fact,0.682851|0.680902|0.6632|0.65262|0.637884|0.622622|0.543332|0.53488|0.532646|0.5282,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,180
10,wo_tmt,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m070|u001_m053|u001_m069|u001_m049|u001_m062|u001_m056,u001_e001|u001_e001|u001_e014|u001_e009|u001_e018|u001_e014|u001_e018|u001_e013|u001_e016|u001_e014,todo|todo|todo|todo|constraint|constraint|todo|preference|constraint|fact,0.686731|0.679822|0.668|0.6552|0.637884|0.622622|0.587467|0.543332|0.532646|0.5282,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,179
10,wo_decay,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m018|u001_m033|u001_m053|u001_m035|u001_m005|u001_m013,u001_e001|u001_e001|u001_e014|u001_e009|u001_e005|u001_e009|u001_e014|u001_e009|u001_e002|u001_e004,todo|todo|todo|todo|status_update|dependency|constraint|constraint|todo|todo,0.682851|0.680902|0.6632|0.65262|0.586415|0.576415|0.573331|0.5414|0.53488|0.490667,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,170
10,wo_compatibility,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m070|u001_m053|u001_m049|u001_m001|u001_m002|u001_m054|u001_m056|u001_m034|u001_m064|u001_m055,u001_e018|u001_e014|u001_e013|u001_e001|u001_e001|u001_e014|u001_e014|u001_e009|u001_e016|u001_e014,constraint|constraint|preference|todo|todo|todo|fact|todo|fact|preference,0.556884|0.541622|0.516332|0.502851|0.500902|0.4832|0.4832|0.47262|0.466533|0.462011,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.5232696628152375,0.0,1.0,,0.0,,0.0,196
10,wo_domain,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m070|u001_m053|u001_m050|u001_m005|u001_m049|u001_m062|u001_m071|u001_m056|u001_m060|u001_m064,u001_e018|u001_e014|u001_e013|u001_e002|u001_e013|u001_e016|u001_e018|u001_e014|u001_e015|u001_e016,constraint|constraint|status_update|todo|preference|constraint|fact|fact|fact|fact,0.537884|0.522622|0.502138|0.48488|0.459998|0.449313|0.439563|0.4282|0.4282|0.4282,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.0,,0.0,196
10,wo_penalty,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m001|u001_m002|u001_m054|u001_m034|u001_m070|u001_m053|u001_m049|u001_m005|u001_m062|u001_m056,u001_e001|u001_e001|u001_e014|u001_e009|u001_e018|u001_e014|u001_e013|u001_e002|u001_e016|u001_e014,todo|todo|todo|todo|constraint|constraint|preference|todo|constraint|fact,0.682851|0.680902|0.6632|0.65262|0.637884|0.622622|0.543332|0.53488|0.532646|0.5282,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,180
5,full_qca,u001,u001_q002,task,task_due,,今天有哪些快到截止但不能被过度放大的事项？,u001_m070|u001_m001|u001_m002|u001_m054|u001_m034,u001_e018|u001_e001|u001_e001|u001_e014|u001_e009,constraint|todo|todo|todo|todo,0.592384|0.582488|0.57668|0.560978|0.553988,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.31500299363094614,0.0,0.5,0.0,0.0,,0.0,96
