top_k,user_id,query_id,query_mode,query_subtype,query,method,selected_event_ids,selected_event_titles,selected_event_scores,gold_event_ids,supporting_event_recall,task_status_accuracy,top1_accuracy,top3_recall,NDCG@3,token_cost,llm_can_answer
1,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_only,u001_e014,Mixed planning for today,1.0,u001_e001|u001_e009,0.0,0.0,0.0,0.0,0.0,93,0.0
1,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,similarity_only,u001_e005,课程项目汇报 status update,0.142857,u001_e001|u001_e009,0.0,0.0,0.0,0.0,0.0,64,0.0
1,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_similarity_hybrid,u001_e018,Urgent wrong domain,0.509459,u001_e001|u001_e009,0.0,0.0,0.0,0.0,0.0,83,0.0
1,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,proposed_TMT_decay_event_memory,u001_e001,课程项目汇报 planning,0.724161,u001_e001|u001_e009,0.5,0.5,1.0,0.5,0.7039180890341347,62,0.0
2,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_only,u001_e014|u001_e015,Mixed planning for today|Mixed review and reminder,1.0|1.0,u001_e001|u001_e009,0.0,0.0,0.0,0.0,0.0,175,0.0
2,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,similarity_only,u001_e005|u001_e001,课程项目汇报 status update|课程项目汇报 planning,0.142857|0.141026,u001_e001|u001_e009,0.5,0.5,0.0,0.5,0.44412286644879784,126,0.0
2,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_similarity_hybrid,u001_e018|u001_e014,Urgent wrong domain|Mixed planning for today,0.509459|0.498125,u001_e001|u001_e009,0.0,0.0,0.0,0.0,0.0,175,0.0
2,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,proposed_TMT_decay_event_memory,u001_e001|u001_e009,课程项目汇报 planning|课程项目汇报 dependency discussion,0.724161|0.722615,u001_e001|u001_e009,1.0,1.0,1.0,1.0,1.0,147,1.0
3,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_only,u001_e014|u001_e015|u001_e016,Mixed planning for today|Mixed review and reminder|Recent irrelevant side matter,1.0|1.0|1.0,u001_e001|u001_e009,0.0,0.0,0.0,0.0,0.0,252,0.0
3,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,similarity_only,u001_e005|u001_e001|u001_e017,课程项目汇报 status update|课程项目汇报 planning|Semantic similar wrong status,0.142857|0.141026|0.125,u001_e001|u001_e009,0.5,0.5,0.0,0.5,0.44412286644879784,209,0.0
3,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_similarity_hybrid,u001_e018|u001_e014|u001_e016,Urgent wrong domain|Mixed planning for today|Recent irrelevant side matter,0.509459|0.498125|0.487671,u001_e001|u001_e009,0.0,0.0,0.0,0.0,0.0,252,0.0
3,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,proposed_TMT_decay_event_memory,u001_e001|u001_e009|u001_e014,课程项目汇报 planning|课程项目汇报 dependency discussion|Mixed planning for today,0.724161|0.722615|0.71716,u001_e001|u001_e009,1.0,1.0,1.0,1.0,1.0,240,1.0
1,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_only,u001_e014,Mixed planning for today,1.0,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,93,0.0
1,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,similarity_only,u001_e018,Urgent wrong domain,0.103896,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.5,1.0,0.3333333333333333,0.21000199575396408,83,0.0
1,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_similarity_hybrid,u001_e018,Urgent wrong domain,0.507143,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.5,1.0,0.3333333333333333,0.21000199575396408,83,0.0
1,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,proposed_TMT_decay_event_memory,u001_e001,课程项目汇报 planning,0.624359,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.5,1.0,0.3333333333333333,0.6300059872618923,62,0.0
2,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_only,u001_e014|u001_e015,Mixed planning for today|Mixed review and reminder,1.0|1.0,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,175,0.0
2,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,similarity_only,u001_e018|u001_e012,Urgent wrong domain|Old preference record,0.103896|0.081081,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.5,1.0,0.3333333333333333,0.21000199575396408,155,0.0
2,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_similarity_hybrid,u001_e018|u001_e016,Urgent wrong domain|Recent irrelevant side matter,0.507143|0.471154,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.5,1.0,0.3333333333333333,0.21000199575396408,160,0.0
2,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,proposed_TMT_decay_event_memory,u001_e001|u001_e014,课程项目汇报 planning|Mixed planning for today,0.624359|0.624315,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.5,1.0,0.3333333333333333,0.6300059872618923,154,0.0
3,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_only,u001_e014|u001_e015|u001_e016,Mixed planning for today|Mixed review and reminder|Recent irrelevant side matter,1.0|1.0|1.0,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,252,0.0
3,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,similarity_only,u001_e018|u001_e012|u001_e002,Urgent wrong domain|Old preference record|论文实验复现 planning,0.103896|0.081081|0.054054,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.5,1.0,0.3333333333333333,0.21000199575396408,219,0.0
3,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_similarity_hybrid,u001_e018|u001_e016|u001_e014,Urgent wrong domain|Recent irrelevant side matter|Mixed planning for today,0.507143|0.471154|0.468966,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.5,1.0,0.3333333333333333,0.21000199575396408,252,0.0
