top_k,user_id,query_id,query_mode,query_subtype,query,method,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,deadline_ranking_accuracy,memory_token_cost
1,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_only,u001_m056,u001_e014,fact,1.0,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.0,,0.0,29
1,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,similarity_only,u001_m017,u001_e005,todo,0.272727,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,1.0,,0.0,10
1,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_similarity_hybrid,u001_m070,u001_e018,constraint,0.551441,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.0,,0.0,22
1,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,proposed_TMT_decay_event_memory,u001_m002,u001_e001,todo,0.610694,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.3333333333333333,1.0,1.0,0.3333333333333333,,0.0,,0.0,17
3,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_only,u001_m056|u001_m060|u001_m064,u001_e014|u001_e015|u001_e016,fact|fact|fact,1.0|1.0|1.0,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.0,,0.0,87
3,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,similarity_only,u001_m017|u001_m020|u001_m035,u001_e005|u001_e005|u001_e009,todo|todo|constraint,0.272727|0.25|0.25,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.5,,0.0,37
3,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_similarity_hybrid,u001_m070|u001_m054|u001_m053,u001_e018|u001_e014|u001_e014,constraint|todo|constraint,0.551441|0.525204|0.52097,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.0,,0.0,63
3,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,proposed_TMT_decay_event_memory,u001_m002|u001_m054|u001_m034,u001_e001|u001_e014|u001_e009,todo|todo|todo,0.610694|0.59627|0.589617,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.6666666666666666,0.6787956981029196,1.0,0.6666666666666666,,0.0,,0.0,58
5,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_only,u001_m056|u001_m060|u001_m064|u001_m072|u001_m071,u001_e014|u001_e015|u001_e016|u001_e018|u001_e018,fact|fact|fact|fact|fact,1.0|1.0|1.0|1.0|0.996672,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.0,,0.0,125
5,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,similarity_only,u001_m017|u001_m020|u001_m035|u001_m003|u001_m067,u001_e005|u001_e005|u001_e009|u001_e001|u001_e017,todo|todo|constraint|fact|fact,0.272727|0.25|0.25|0.24|0.24,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.5,,0.0,64
5,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_similarity_hybrid,u001_m070|u001_m054|u001_m053|u001_m049|u001_m056,u001_e018|u001_e014|u001_e014|u001_e013|u001_e014,constraint|todo|constraint|preference|fact,0.551441|0.525204|0.52097|0.499082|0.45,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.0,,0.0,97
5,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,proposed_TMT_decay_event_memory,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|constraint,0.610694|0.59627|0.589617|0.584516|0.583685,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.8980517442734133,1.0,1.0,,0.0,,0.0,94
10,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_only,u001_m056|u001_m060|u001_m064|u001_m072|u001_m071|u001_m070|u001_m069|u001_m063|u001_m062|u001_m061,u001_e014|u001_e015|u001_e016|u001_e018|u001_e018|u001_e018|u001_e018|u001_e016|u001_e016|u001_e016,fact|fact|fact|fact|fact|constraint|todo|todo|constraint|fact,1.0|1.0|1.0|1.0|0.996672|0.996257|0.995842|0.948064|0.947669|0.947274,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.0,,0.0,201
10,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,similarity_only,u001_m017|u001_m020|u001_m035|u001_m003|u001_m067|u001_m018|u001_m033|u001_m065|u001_m002|u001_m019,u001_e005|u001_e005|u001_e009|u001_e001|u001_e017|u001_e005|u001_e009|u001_e017|u001_e001|u001_e005,todo|todo|constraint|fact|fact|status_update|dependency|todo|todo|fact,0.272727|0.25|0.25|0.24|0.24|0.230769|0.230769|0.230769|0.222222|0.222222,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.3333333333333333,0.15325339954248823,0.0,0.3333333333333333,,0.5,,0.0,146
10,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,recency_similarity_hybrid,u001_m070|u001_m054|u001_m053|u001_m049|u001_m056|u001_m060|u001_m064|u001_m072|u001_m071|u001_m069,u001_e018|u001_e014|u001_e014|u001_e013|u001_e014|u001_e015|u001_e016|u001_e018|u001_e018|u001_e018,constraint|todo|constraint|preference|fact|fact|fact|fact|fact|todo,0.551441|0.525204|0.52097|0.499082|0.45|0.45|0.45|0.45|0.448502|0.448129,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.0,0.0,0.0,0.0,,0.0,,0.0,209
10,u001,u001_q001,task,task_due,我最近最该先处理哪个课程项目汇报任务？,proposed_TMT_decay_event_memory,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053|u001_m033|u001_m035|u001_m049|u001_m070|u001_m018,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014|u001_e009|u001_e009|u001_e013|u001_e018|u001_e005,todo|todo|todo|todo|constraint|dependency|constraint|preference|constraint|status_update,0.610694|0.59627|0.589617|0.584516|0.583685|0.538124|0.505675|0.496038|0.488968|0.487319,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.8980517442734133,1.0,1.0,,0.0,,0.0,169
1,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_only,u001_m056,u001_e014,fact,1.0,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29
1,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,similarity_only,u001_m045,u001_e012,preference,0.060606,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4
1,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_similarity_hybrid,u001_m070,u001_e018,constraint,0.462066,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22
1,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,proposed_TMT_decay_event_memory,u001_m002,u001_e001,todo,0.506472,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,1.0,1.0,0.5,0.0,0.0,,0.0,17
3,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_only,u001_m056|u001_m060|u001_m064,u001_e014|u001_e015|u001_e016,fact|fact|fact,1.0|1.0|1.0,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,87
3,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,similarity_only,u001_m045|u001_m017|u001_m020,u001_e012|u001_e005|u001_e005,preference|todo|todo,0.060606|0.033333|0.03125,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.5,,0.0,27
3,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_similarity_hybrid,u001_m070|u001_m056|u001_m060,u001_e018|u001_e014|u001_e015,constraint|fact|fact,0.462066|0.45|0.45,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,79
3,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,proposed_TMT_decay_event_memory,u001_m002|u001_m054|u001_m034,u001_e001|u001_e014|u001_e009,todo|todo|todo,0.506472|0.494048|0.490986,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.6300059872618923,1.0,0.5,0.0,0.0,,0.0,58
5,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_only,u001_m056|u001_m060|u001_m064|u001_m072|u001_m071,u001_e014|u001_e015|u001_e016|u001_e018|u001_e018,fact|fact|fact|fact|fact,1.0|1.0|1.0|1.0|0.996672,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,125
5,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,similarity_only,u001_m045|u001_m017|u001_m020|u001_m035|u001_m003,u001_e012|u001_e005|u001_e005|u001_e009|u001_e001,preference|todo|todo|constraint|fact,0.060606|0.033333|0.03125|0.03125|0.030303,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.5,,0.0,55
5,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_similarity_hybrid,u001_m070|u001_m056|u001_m060|u001_m064|u001_m072,u001_e018|u001_e014|u001_e015|u001_e016|u001_e018,constraint|fact|fact|fact|fact,0.462066|0.45|0.45|0.45|0.45,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,135
5,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,proposed_TMT_decay_event_memory,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014,todo|todo|todo|todo|constraint,0.506472|0.494048|0.490986|0.484152|0.483321,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.6300059872618923,1.0,0.5,0.0,0.0,,0.0,94
10,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_only,u001_m056|u001_m060|u001_m064|u001_m072|u001_m071|u001_m070|u001_m069|u001_m063|u001_m062|u001_m061,u001_e014|u001_e015|u001_e016|u001_e018|u001_e018|u001_e018|u001_e018|u001_e016|u001_e016|u001_e016,fact|fact|fact|fact|fact|constraint|todo|todo|constraint|fact,1.0|1.0|1.0|1.0|0.996672|0.996257|0.995842|0.948064|0.947669|0.947274,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.07000066525132136,0.0,0.5,0.0,0.0,,1.0,201
10,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,similarity_only,u001_m045|u001_m017|u001_m020|u001_m035|u001_m003|u001_m067|u001_m018|u001_m033|u001_m065|u001_m002,u001_e012|u001_e005|u001_e005|u001_e009|u001_e001|u001_e017|u001_e005|u001_e009|u001_e017|u001_e001,preference|todo|todo|constraint|fact|fact|status_update|dependency|todo|todo,0.060606|0.033333|0.03125|0.03125|0.030303|0.030303|0.029412|0.029412|0.029412|0.028571,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.18211257128708833,0.0,0.5,0.0,0.5,,0.0,133
10,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,recency_similarity_hybrid,u001_m070|u001_m056|u001_m060|u001_m064|u001_m072|u001_m071|u001_m069|u001_m049|u001_m063|u001_m062,u001_e018|u001_e014|u001_e015|u001_e016|u001_e018|u001_e018|u001_e018|u001_e013|u001_e016|u001_e016,constraint|fact|fact|fact|fact|fact|todo|preference|todo|constraint,0.462066|0.45|0.45|0.45|0.45|0.448502|0.448129|0.429499|0.426629|0.426451,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.3333333333333333,0.07000066525132136,0.0,0.5,0.0,0.0,,1.0,193
10,u001,u001_q002,task,task_due,今天有哪些快到截止但不能被过度放大的事项？,proposed_TMT_decay_event_memory,u001_m002|u001_m054|u001_m034|u001_m001|u001_m053|u001_m070|u001_m069|u001_m033|u001_m050|u001_m025,u001_e001|u001_e014|u001_e009|u001_e001|u001_e014|u001_e018|u001_e018|u001_e009|u001_e013|u001_e007,todo|todo|todo|todo|constraint|constraint|todo|dependency|status_update|todo,0.506472|0.494048|0.490986|0.484152|0.483321|0.443468|0.43245|0.431744|0.429498|0.422753,u001_m002|u001_m069|u001_m026,u001_e001|u001_e018|u001_e007,0.6666666666666666,0.7000066525132136,1.0,1.0,0.0,0.0,,0.0,183
1,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,recency_only,u001_m056,u001_e014,fact,1.0,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29
1,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,similarity_only,u001_m007,u001_e002,preference,0.285714,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12
1,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,recency_similarity_hybrid,u001_m058,u001_e015,todo,0.561137,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15
1,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,proposed_TMT_decay_event_memory,u001_m058,u001_e015,todo,0.566598,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15
3,u001,u001_q003,task,task_priority,论文实验复现接下来应该推进什么？,recency_only,u001_m056|u001_m060|u001_m064,u001_e014|u001_e015|u001_e016,fact|fact|fact,1.0|1.0|1.0,u001_m005|u001_m023|u001_m038,u001_e002|u001_e006|u001_e010,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,87
