top_k,ablation,user_id,query_id,query_mode,query_subtype,hard_case_tag,query,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,wrong_domain_intrusion_rate,stale_memory_intrusion_rate,completed_task_intrusion_rate,far_deadline_before_near_rate,deadline_ranking_accuracy,memory_token_cost
5,full_qca,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0003|v3u001_m0002|v3u001_m0004|v3u001_m0016,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003,todo|todo|todo|dependency|status_update,0.71545|0.69096|0.6552|0.625304|0.620692,v3u001_m0001|v3u001_m0004,v3u001_e001,1,0.9060254355346823,1,1,1,0,,0,,0,0,1,122
5,wo_tmt,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0003|v3u001_m0007|v3u001_m0002|v3u001_m0008|v3u001_m0004,v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e002|v3u001_e001,todo|todo|todo|todo|dependency,0.7788|0.665012|0.648|0.6286|0.625304,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.18154179253735267,0,0,1,0,,0.4,,0,1,0,114
5,wo_decay,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0003|v3u001_m0002|v3u001_m0015|v3u001_m0032,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e007,todo|todo|todo|status_update|fact,0.71545|0.69096|0.6552|0.631982|0.6215,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.7039180890341347,1,1,0,0,,0,,0,0,1,115
5,wo_compatibility,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0004|v3u001_m0003|v3u001_m0016|v3u001_m0015,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e003,todo|dependency|todo|status_update|status_update,0.53545|0.526304|0.51096|0.503692|0.489987,v3u001_m0001|v3u001_m0004,v3u001_e001,1,1,1,1,1,0,,0,,0,0,1,124
5,wo_domain,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0009|v3u001_m0002|v3u001_m0004|v3u001_m0016|v3u001_m0010,v3u001_e002|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e002,status_update|todo|dependency|status_update|constraint,0.560671|0.5552|0.525304|0.520692|0.520537,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.23463936301137822,0,0,1,0,,0.4,,0,0,0,119
5,wo_penalty,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0003|v3u001_m0007|v3u001_m0002|v3u001_m0004,v3u001_e001|v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e001,todo|todo|todo|todo|dependency,0.71545|0.69096|0.662042|0.6552|0.625304,v3u001_m0001|v3u001_m0004,v3u001_e001,1,0.8854598815714874,1,1,1,0,,0.2,,0,0,1,117
10,full_qca,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0003|v3u001_m0002|v3u001_m0004|v3u001_m0016|v3u001_m0015|v3u001_m0028|v3u001_m0005|v3u001_m0018|v3u001_m0009,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e003|v3u001_e006|v3u001_e001|v3u001_e003|v3u001_e002,todo|todo|todo|dependency|status_update|status_update|status_update|constraint|constraint|status_update,0.71545|0.69096|0.6552|0.625304|0.620692|0.606987|0.572434|0.568825|0.567606|0.560671,v3u001_m0001|v3u001_m0004,v3u001_e001,1,0.9060254355346823,1,1,1,0,,0.1,,0,0,1,252
10,wo_tmt,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0003|v3u001_m0007|v3u001_m0002|v3u001_m0008|v3u001_m0004|v3u001_m0016|v3u001_m0015|v3u001_m0028|v3u001_m0005|v3u001_m0018,v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e002|v3u001_e001|v3u001_e003|v3u001_e003|v3u001_e006|v3u001_e001|v3u001_e003,todo|todo|todo|todo|dependency|status_update|status_update|status_update|constraint|constraint,0.7788|0.665012|0.648|0.6286|0.625304|0.620692|0.606987|0.572434|0.568825|0.567606,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.18154179253735267,0,0,1,0,,0.2,,0,1,0,252
10,wo_decay,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0003|v3u001_m0002|v3u001_m0015|v3u001_m0032|v3u001_m0033|v3u001_m0034|v3u001_m0018|v3u001_m0035|v3u001_m0017,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e007|v3u001_e007|v3u001_e007|v3u001_e003|v3u001_e007|v3u001_e003,todo|todo|todo|status_update|fact|dependency|constraint|constraint|fact|fact,0.71545|0.69096|0.6552|0.631982|0.6215|0.612271|0.591311|0.5638|0.5313|0.530474,v3u001_m0001|v3u001_m0004,v3u001_e001,0.5,0.7039180890341347,1,1,0,0,,0,,0,0,1,225
10,wo_compatibility,v3u001,v3u001_q001,task,task_due,tmt_deadline_order,"For thesis_ablation_report_01, which active deadline task should be handled first?",v3u001_m0001|v3u001_m0004|v3u001_m0003|v3u001_m0016|v3u001_m0015|v3u001_m0006|v3u001_m0005|v3u001_m0018|v3u001_m0002|v3u001_m0017,v3u001_e001|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e003|v3u001_e001|v3u001_e001|v3u001_e003|v3u001_e001|v3u001_e003,todo|dependency|todo|status_update|status_update|fact|constraint|constraint|todo|fact,0.53545|0.526304|0.51096|0.503692|0.489987|0.489592|0.487825|0.486606|0.4752|0.474879,v3u001_m0001|v3u001_m0004,v3u001_e001,1,1,1,1,1,0,,0,,0,0,1,243
