top_k,ablation,user_id,query_id,query_mode,query_subtype,hard_case_tag,query,selected_memory_ids,selected_event_ids,selected_memory_types,selected_memory_roles,selected_memory_scores,gold_memory_ids,gold_event_ids,memory_recall,memory_NDCG,memory_top1_accuracy,todo_recall,non_todo_recall,completed_task_error_rate,todo_intrusion_rate,wrong_domain_intrusion_rate,stale_memory_intrusion_rate,completed_task_intrusion_rate,completed_todo_retro_recall,active_todo_precision,wrong_domain_urgent_intrusion_rate,stale_preference_intrusion_rate,far_deadline_before_near_rate,deadline_ranking_accuracy,memory_token_cost
5,full_core_v2,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m001|u001_m054|u001_m034|u001_m005,u001_e001|u001_e001|u001_e014|u001_e009|u001_e002,todo|todo|todo|todo|todo,active_todo|active_todo|active_todo|active_todo|active_todo,0.431751|0.416731|0.411192|0.40511|0.120702,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,90
5,wo_embedding,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m054|u001_m001|u001_m034|u001_m053,u001_e001|u001_e014|u001_e001|u001_e009|u001_e014,todo|todo|todo|todo|constraint,active_todo|active_todo|active_todo|active_todo|fact_context,0.210459|0.195174|0.192836|0.182953|0.047649,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9098158578127802,1.0,1.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,94
5,wo_decay,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m001|u001_m054|u001_m034|u001_m005,u001_e001|u001_e001|u001_e014|u001_e009|u001_e002,todo|todo|todo|todo|todo,active_todo|active_todo|active_todo|active_todo|active_todo,0.431751|0.416731|0.411192|0.40511|0.120702,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,90
5,wo_role_matrix,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m053|u001_m033|u001_m002|u001_m001|u001_m054,u001_e014|u001_e009|u001_e001|u001_e001|u001_e014,constraint|dependency|todo|todo|todo,fact_context|fact_context|active_todo|active_todo|active_todo,0.514861|0.438131|0.431751|0.416731|0.411192,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,0.6666666666666666,0.47380443295908853,0.0,0.6666666666666666,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,92
5,wo_domain_gate,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m001|u001_m054|u001_m034|u001_m0001,u001_e001|u001_e001|u001_e014|u001_e009|u001_e0001,todo|todo|todo|todo|todo,active_todo|active_todo|active_todo|active_todo|active_todo,0.431751|0.416731|0.411192|0.40511|0.149223,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,93
5,wo_tmt_condition,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m001|u001_m054|u001_m034|u001_m005,u001_e001|u001_e001|u001_e014|u001_e009|u001_e002,todo|todo|todo|todo|todo,active_todo|active_todo|active_todo|active_todo|active_todo,0.431751|0.416731|0.411192|0.40511|0.120702,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,90
5,wo_eisenhower,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m001|u001_m054|u001_m034|u001_m025,u001_e001|u001_e001|u001_e014|u001_e009|u001_e007,todo|todo|todo|todo|todo,active_todo|active_todo|active_todo|active_todo|active_todo,0.431751|0.416731|0.411192|0.40511|0.109328,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,90
10,full_core_v2,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m001|u001_m054|u001_m034|u001_m005|u001_m053|u001_m033|u001_m035|u001_m070|u001_m018,u001_e001|u001_e001|u001_e014|u001_e009|u001_e002|u001_e014|u001_e009|u001_e009|u001_e018|u001_e005,todo|todo|todo|todo|todo|constraint|dependency|constraint|constraint|status_update,active_todo|active_todo|active_todo|active_todo|active_todo|fact_context|fact_context|fact_context|fact_context|fact_context,0.431751|0.416731|0.411192|0.40511|0.120702|0.102972|0.087626|0.079249|0.074302|0.067307,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,178
10,wo_embedding,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m054|u001_m001|u001_m034|u001_m053|u001_m033|u001_m035|u001_m018|u001_m070|u001_m066,u001_e001|u001_e014|u001_e001|u001_e009|u001_e014|u001_e009|u001_e009|u001_e005|u001_e018|u001_e017,todo|todo|todo|todo|constraint|dependency|constraint|status_update|constraint|constraint,active_todo|active_todo|active_todo|active_todo|fact_context|fact_context|fact_context|fact_context|fact_context|fact_context,0.210459|0.195174|0.192836|0.182953|0.047649|0.043922|0.042181|0.033737|0.032058|0.026554,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9098158578127802,1.0,1.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,182
10,wo_decay,u001,u001_q001,task,task_due,,我最近最该先处理哪个课程项目汇报任务？,u001_m002|u001_m001|u001_m054|u001_m034|u001_m005|u001_m053|u001_m033|u001_m018|u001_m035|u001_m019,u001_e001|u001_e001|u001_e014|u001_e009|u001_e002|u001_e014|u001_e009|u001_e005|u001_e009|u001_e005,todo|todo|todo|todo|todo|constraint|dependency|status_update|constraint|fact,active_todo|active_todo|active_todo|active_todo|active_todo|fact_context|fact_context|fact_context|fact_context|fact_context,0.431751|0.416731|0.411192|0.40511|0.120702|0.093|0.0868|0.08432|0.0806|0.07192,u001_m002|u001_m001|u001_m034,u001_e001|u001_e009,1.0,0.9764717729212657,1.0,1.0,,0.0,,0.0,,0.0,,1.0,0.0,,0.0,0.0,173
